,year,sex,Value,condition,smoke_estimate
74,2010,Male,9.9,COPD,0.0102893817602129
75,2010,Male,9.9,COPD,0.0066980641601707
76,2010,Male,9.9,COPD,0.0057392781450327
77,2010,Male,9.9,COPD,0.0076502199494304
78,2010,Male,9.9,COPD,0.0031951698163831
79,2010,Male,9.9,COPD,0.0011222737616241
80,2010,Male,9.9,COPD,0.0044085547332182
81,2010,Male,9.9,COPD,0.0025959514295488
82,2010,Male,9.9,COPD,0.0026062660846423
83,2010,Male,9.9,COPD,0.0024435789580206
84,2010,Male,9.9,COPD,0.0024855723152151
85,2010,Male,9.9,COPD,0.0028821531006229
86,2010,Male,9.9,COPD,0.0038681386811514
87,2010,Male,9.9,COPD,0.0002369006097108
88,2010,Male,9.9,COPD,0.0001548473639698
89,2010,Male,9.9,COPD,0.0005118300976287
90,2010,Male,9.9,COPD,0.0005462631971527
91,2010,Male,9.9,COPD,0.0003897227832034
92,2010,Male,9.9,COPD,0.0002482737991579
93,2010,Male,9.9,COPD,4.189265845788737e-05
94,2010,Male,9.9,COPD,0.000216173436266
95,2010,Male,9.9,COPD,2.9144121540832173
96,2010,Male,9.9,COPD,4.083018078503054
97,2010,Male,9.9,COPD,8.495533006742498
98,2010,Male,9.9,COPD,3.367192480947211
99,2010,Male,9.9,COPD,4.511031343072297
100,2010,Male,9.9,COPD,3.5177934194322784
101,2010,Male,9.9,COPD,6.079382748407865
102,2010,Male,9.9,COPD,4.984801007150886
103,2010,Male,9.9,COPD,14.88967861832021
104,2010,Male,9.9,COPD,27.568881436406084
105,2010,Male,9.9,COPD,3.8247621586243423
106,2010,Male,9.9,COPD,8.25244746506698
107,2010,Male,9.9,COPD,9.511207177322454
108,2010,Male,9.9,COPD,8.569773511876745
109,2010,Male,9.9,COPD,10.470644694021448
110,2010,Male,9.9,COPD,8.383481350703637
111,2010,Male,9.9,COPD,40.611271793640675
112,2010,Male,9.9,COPD,11.226978051629276
113,2010,Male,9.9,COPD,15.811994350230966
114,2010,Male,9.9,COPD,18.231300023036756
115,2010,Male,9.9,COPD,5.532893743530459
116,2010,Male,9.9,COPD,17.39873960807701
117,2010,Male,9.9,COPD,8.920193747045031
118,2010,Male,9.9,COPD,7.813808293032974
119,2010,Male,9.9,COPD,6.595374300768651
120,2010,Male,9.9,COPD,7.798385518595903
121,2010,Male,9.9,COPD,6.843147029304567
122,2010,Male,9.9,COPD,6.22034865045349
123,2010,Male,9.9,COPD,1.6070722467740084
