,Unnamed: 0.1,Unnamed: 0,year,name,size,type,circleness_scale,avg_distance,perimeter_start,shortest_distance,shortest_latlon,fire_type_encoded,smoke_estimate
78,17651,1971-17651-211 EAST (2),1971,211 EAST (2),0.0994427740791904,Wildfire,0.9922566255386924,68.4517784218325,"(38.66412038734149, -78.30172648161238)",68.4447290478143,"(38.66413817524225, -78.30172779625192)",5,0.005420217909619952
79,17656,1971-17656-EQUITATION (3),1971,EQUITATION (3),0.0966366990409639,Wildfire,0.3952314223128321,8.948288981537312,"(38.950073538899545, -77.04678186521733)",8.94378449037832,"(38.950073538899545, -77.04678186521733)",5,0.02418221548806566
80,18033,1972-18033-ASPHALT QUARRY (2),1972,ASPHALT QUARRY (2),33.116565615196784,Wildfire,0.2907396631362263,513.2560113765526,"(37.25684571884434, -86.25424710123224)",513.1212036658738,"(37.25342574196237, -86.25069656952475)",5,0.12758477798084328
81,18034,1972-18034-CHILHOWEE (2),1972,CHILHOWEE (2),18.742264167915284,Wildfire,0.5996020766846335,441.924853233166,"(35.604322629364496, -83.98281579692393)",441.77182578898214,"(35.60464269638727, -83.98194038215186)",5,0.11662713304546388
82,18043,1972-18043-HY129 (2),1972,HY129 (2),14.217523468999616,Wildfire,0.6114130192124142,444.2589742787932,"(35.50653826894824, -83.95712926168933)",444.14484675606343,"(35.50714994329348, -83.95566234300915)",5,0.08894362278328345
83,18045,1972-18045-PARSONS (2),1972,PARSONS (2),13.218174511481028,Wildfire,0.8956711417223334,443.74437138440976,"(35.49769072887459, -83.93956985322802)",443.6395100722537,"(35.499342938303016, -83.9387537704895)",5,0.10395954538020741
84,18102,1972-18102-CADES COVE (2),1972,CADES COVE (2),2.568439290475655,Wildfire,0.7598505796284746,431.8799838193911,"(35.608990350165385, -83.77647879573979)",431.841258083427,"(35.60950064460793, -83.7765801393334)",5,0.018732865771136968
85,18476,1973-18476-WHITEOAK Canyon (2),1973,WHITEOAK Canyon (2),22.8723313888729,Wildfire,0.9922808321950048,72.69448676171841,"(38.554665703894045, -78.34977008071377)",72.58770006900012,"(38.55519837964031, -78.34986961987808)",5,1.1755415065769472
86,18479,1973-18479-ABRAM MT (2),1973,ABRAM MT (2),21.67701056898283,Wildfire,0.6746364060992004,85.87444518453479,"(38.41338581710929, -78.54882679029211)",85.79211254372879,"(38.41423876551464, -78.54898835032283)",5,0.7419856276632052
87,18514,1973-18514-J_C_H_3_2_W2_73 (2),1973,J_C_H_3_2_W2_73 (2),7.976240486385803,Wildfire,0.8660491366184042,401.6653986189143,"(35.77818822407983, -83.27001163531311)",401.5993383106016,"(35.77827097880677, -83.26959993033738)",5,0.06782840128499566
88,18519,1973-18519-LEADING Ridge (2),1973,LEADING Ridge (2),6.496484861108861,Wildfire,0.6820242337831603,71.31666318741622,"(38.63756567887417, -78.34894655864659)",71.27907752718548,"(38.63756567887417, -78.34894655864659)",5,0.2693287710305794
89,18524,1973-18524-LITTLE JORDAN FI (2),1973,LITTLE JORDAN FI (2),5.823389597300419,Wildfire,0.5686914978214355,504.89047682496,"(37.23577905758346, -86.09120789785923)",504.8269435661393,"(37.236203569206964, -86.08904627212068)",5,0.030819506716371396
90,18543,1973-18543-ROUTE 211 (2),1973,ROUTE 211 (2),3.2313325805284574,Wildfire,0.6472275363024608,67.99882394834805,"(38.66611904014233, -78.29392792097727)",67.9602114366798,"(38.66675948111225, -78.29320031473175)",5,0.13636926802337523
91,18557,1973-18557-NICHOLSON Hollow (2),1973,NICHOLSON Hollow (2),1.989022093283929,Wildfire,0.992269539751854,71.57346930034004,"(38.60617453726536, -78.34580561729375)",71.54200914512941,"(38.6062540869362, -78.34581154063204)",5,0.1037207760575994
92,18598,1973-18598-JEWEL Hollow (2),1973,JEWEL Hollow (2),0.2487255204600163,Wildfire,0.9922616530295504,70.40077505388027,"(38.64185994382522, -78.33324658876981)",70.38963169941653,"(38.64188807518636, -78.33324867795254)",5,0.013182465490701518
93,18599,1973-18599-RT 211E (2),1973,RT 211E (2),0.2487188864232857,Wildfire,0.9922574819950672,68.59848081195831,"(38.66073269596092, -78.30367529206835)",68.587332801875,"(38.660760828018645, -78.30367737022387)",5,0.013528468159374292
94,18600,1973-18600-RIDGE TRL (2),1973,RIDGE TRL (2),0.2487169488265962,Wildfire,0.992280914869026,70.04251602019647,"(38.55396326539957, -78.30051673550078)",70.03137759742836,"(38.55401881800954, -78.30052707617514)",5,0.013249616410230912
95,18612,1973-18612-CRESCENT Rock (2),1973,CRESCENT Rock (2),0.0994494134708683,Wildfire,0.9922802692114404,74.37578367623284,"(38.5596968129427, -78.38537658313834)",74.36874952030561,"(38.55973193601489, -78.3853831653988)",5,0.0049888696012935635
96,18882,1974-18882-ANDYS ON I (2),1974,ANDYS ON I (2),141.57075369825898,Wildfire,0.5418991558008557,187.166235386272,"(37.245825541742654, -79.84898038272756)",186.88234766757117,"(37.256313808673326, -79.84846278095434)",5,1.9731993230667007
97,18897,1974-18897-DOVERS (2),1974,DOVERS (2),101.67309455362276,Wildfire,0.4462795920302705,340.1597953056751,"(35.87744860581172, -82.01572956457291)",339.90247754579013,"(35.87499442332167, -82.00268346151024)",5,0.707638078496325
98,18970,1974-18970-CROW HOLLW (2),1974,CROW HOLLW (2),27.86347596290072,Wildfire,0.9724949357564344,84.25652459485828,"(38.43262085271084, -78.52465831195543)",84.12752692128697,"(38.43262085271084, -78.52465831195543)",5,1.2192450185279613
99,18973,1974-18973-WEBB MT (2),1974,WEBB MT (2),26.61060522562806,Wildfire,0.7504863929833457,405.1270882478687,"(35.77602266596225, -83.34185545457767)",404.9789861659686,"(35.7773930052459, -83.340791535878)",5,0.20541929878098752
100,18976,1974-18976-CW_H_5_2_W4_74 (2),1974,CW_H_5_2_W4_74 (2),25.58947067531088,Wildfire,0.7425479975680663,443.8951309409454,"(35.50412241703292, -83.94818601937749)",443.74112161915616,"(35.50448804507963, -83.94500413524652)",5,0.1791367984468856
101,18993,1974-18993-ELLIS BUTT (2),1974,ELLIS BUTT (2),19.742882944656877,Wildfire,0.7472735182752945,435.716070218872,"(35.66066216336755, -83.89622512377343)",435.6182246506359,"(35.65943894555484, -83.8949867535603)",5,0.14132084975914666
102,18994,1974-18994-CENTER PT (2),1974,CENTER PT (2),19.323168132842262,Wildfire,0.6789870736945451,501.06536117634374,"(37.2593908251048, -86.02809613779876)",500.93673207180666,"(37.25948524808473, -86.0238358184481)",5,0.11369582221104589
103,18999,1974-18999-RT 288 20M (2),1974,RT 288 20M (2),18.455785750845372,Wildfire,0.6007680360293801,442.336987589514,"(35.46443690405406, -83.88577031687765)",442.2415836375272,"(35.46823280963143, -83.88407871891573)",5,0.11484412471593936
104,19025,1974-19025-ABRAMS MTN (2),1974,ABRAMS MTN (2),13.662601978689198,Wildfire,0.9261365368043942,85.5678874958627,"(38.41068803202921, -78.54155365482706)",85.48841878243002,"(38.411132207847025, -78.54163773920469)",5,0.5698063008749108
105,19044,1974-19044-LAUREL SPR (2),1974,LAUREL SPR (2),10.031840671198164,Wildfire,0.9161626274909116,401.3506514728255,"(35.770102817164016, -83.25740725908797)",401.27283103869024,"(35.77156847004219, -83.2572186866005)",5,0.08851033975263323
106,19057,1974-19057-TA_H_5_2_W8_74 (2),1974,TA_H_5_2_W8_74 (2),8.545408396094583,Wildfire,0.7339372494107153,443.20401321945127,"(35.49669153674799, -83.92713914743742)",443.1279970282301,"(35.49815406076636, -83.92696932533941)",5,0.05948900657419097
107,19076,1974-19076-RECTORS (2),1974,RECTORS (2),5.587207951189714,Wildfire,0.5193798205573664,339.54561824578326,"(35.88547298456837, -82.00379596536243)",339.5004125467153,"(35.88476405050557, -82.0029955776411)",5,0.041940207052891
108,19080,1974-19080-LICKLOG (2),1974,LICKLOG (2),5.057724708684751,Wildfire,0.7379341375354468,406.55454774223193,"(35.39646796914114, -83.04470396401469)",406.4806053352826,"(35.39646796914114, -83.04470396401469)",5,0.03850817230242097
109,19094,1974-19094-LITTLE PND (2),1974,LITTLE PND (2),3.817453102005865,Wildfire,0.5955058677006676,436.88679746867126,"(35.65724145274813, -83.91909697226062)",436.8487248940676,"(35.65724145274813, -83.91909697226062)",5,0.023933011787625413
110,19106,1974-19106-POWELL MTN (2),1974,POWELL MTN (2),2.9832080127231753,Wildfire,0.9922991723934276,81.90826726464216,"(38.46716073907751, -78.49543462420019)",81.86964823340521,"(38.46735307284196, -78.49547092824832)",5,0.1359428965595505
